num_chars_from,special_chars_from,uppercase_percentage_from,date,subject,body,label
15.0,2.0,7.6923076923076925,21.0,2,5,1
32.0,3.0,0.0,18.0,2,1,0
17.0,2.0,0.0,6.0,3,3,1
22.0,2.0,0.0,16.0,3,3,1
18.0,3.0,0.0,18.0,2,2,0
24.0,2.0,0.0,12.0,3,1,1
29.0,3.0,0.0,16.0,3,2,1
20.0,3.0,0.0,3.0,2,2,0
20.0,3.0,0.0,8.0,2,2,0
28.0,3.0,0.0,17.0,1,2,1
18.0,3.0,0.0,16.0,2,2,0
23.0,3.0,0.0,21.0,2,4,1
18.0,3.0,0.0,23.0,2,2,1
20.0,3.0,0.0,16.0,2,3,0
30.0,3.0,0.0,13.0,3,2,1
23.0,3.0,0.0,22.0,2,1,0
20.0,3.0,0.0,9.0,2,2,0
13.0,2.0,0.0,0.0,3,4,1
19.0,2.0,0.0,17.0,1,0,0
34.0,3.0,0.0,16.0,2,1,1
27.0,2.0,0.0,23.0,3,2,1
18.0,2.0,0.0,2.0,1,2,0
20.0,3.0,0.0,0.0,2,2,0
24.0,2.0,0.0,0.0,2,2,1
22.0,3.0,0.0,8.0,3,3,1
17.0,3.0,0.0,17.0,2,2,0
26.0,3.0,0.0,19.0,3,1,1
27.0,3.0,0.0,16.0,1,3,1
16.0,2.0,0.0,12.0,3,2,1
20.0,3.0,0.0,4.0,2,3,0
29.0,3.0,0.0,21.0,2,3,1
27.0,3.0,0.0,4.0,2,2,1
19.0,2.0,0.0,17.0,1,1,0
20.0,3.0,0.0,12.0,2,3,0
22.0,2.0,0.0,9.0,3,2,1
16.0,2.0,0.0,11.0,1,2,1
20.0,3.0,0.0,5.0,2,2,0
26.0,3.0,0.0,19.0,2,1,0
25.0,3.0,0.0,9.0,3,0,0
30.0,4.0,0.0,0.0,2,5,1
14.0,2.0,0.0,14.0,2,4,1
21.0,3.0,0.0,17.0,2,0,0
17.0,2.0,0.0,13.0,1,1,1
20.0,3.0,0.0,22.0,2,3,0
19.0,3.0,0.0,14.0,2,0,0
22.0,3.0,31.57894736842105,14.0,2,3,1
24.0,2.0,4.545454545454546,15.0,2,3,1
26.0,3.0,0.0,21.0,2,0,0
20.0,3.0,12.5,16.0,2,2,1
20.0,2.0,27.77777777777778,10.0,3,3,1
23.0,4.0,0.0,18.0,3,4,1
27.0,2.0,0.0,16.0,2,2,1
19.0,2.0,0.0,18.0,3,2,1
23.0,3.0,0.0,1.0,3,4,1
21.0,2.0,0.0,22.0,2,2,1
20.0,3.0,0.0,21.0,2,3,0
20.0,3.0,0.0,21.0,2,3,0
20.0,2.0,0.0,20.0,3,4,1
18.0,3.0,0.0,17.0,2,1,0
26.0,2.0,0.0,8.0,4,1,0
20.0,2.0,0.0,10.0,2,3,1
16.0,2.0,0.0,13.0,3,2,1
20.0,3.0,0.0,13.0,2,4,0
16.0,3.0,0.0,4.0,3,3,1
21.0,2.0,0.0,11.0,3,2,1
24.0,3.0,0.0,21.0,2,1,0
16.0,2.0,0.0,14.0,1,3,1
24.0,2.0,0.0,18.0,2,1,0
28.0,2.0,0.0,1.0,1,3,1
21.0,3.0,0.0,15.0,2,0,0
17.0,3.0,0.0,8.0,3,3,1
20.0,3.0,0.0,10.0,2,2,0
16.0,2.0,0.0,23.0,4,3,0
20.0,3.0,0.0,18.0,2,1,0
21.0,3.0,0.0,16.0,3,3,1
20.0,3.0,0.0,16.0,2,2,0
19.0,2.0,0.0,22.0,2,2,0
18.0,3.0,0.0,9.0,2,1,0
18.0,2.0,0.0,21.0,4,2,0
26.0,3.0,0.0,10.0,1,3,1
20.0,3.0,0.0,4.0,2,2,0
20.0,3.0,0.0,19.0,2,2,0
20.0,3.0,0.0,19.0,2,2,0
20.0,3.0,0.0,7.0,2,3,0
20.0,3.0,0.0,15.0,2,3,0
20.0,3.0,0.0,21.0,2,2,0
22.0,2.0,0.0,9.0,2,3,1
14.0,2.0,0.0,12.0,3,2,1
54.0,5.0,0.0,4.0,2,4,0
24.0,2.0,0.0,23.0,3,2,1
17.0,2.0,0.0,,3,3,1
24.0,3.0,0.0,6.0,2,3,1
22.0,4.0,0.0,20.0,2,1,1
26.0,3.0,0.0,15.0,2,1,0
30.0,2.0,0.0,19.0,1,4,1
20.0,3.0,0.0,22.0,2,3,0
20.0,3.0,0.0,23.0,2,2,0
43.0,4.0,0.0,2.0,2,2,1
23.0,2.0,0.0,18.0,2,3,1
23.0,3.0,0.0,14.0,2,2,0
21.0,2.0,0.0,2.0,2,3,1
19.0,2.0,0.0,16.0,2,1,0
20.0,3.0,0.0,16.0,2,2,0
27.0,2.0,0.0,9.0,2,2,1
25.0,4.0,0.0,15.0,2,5,1
28.0,3.0,0.0,21.0,3,2,1
17.0,2.0,0.0,6.0,3,1,1
19.0,2.0,0.0,1.0,3,2,1
20.0,3.0,0.0,14.0,2,1,0
37.0,2.0,0.0,8.0,2,3,1
15.0,5.0,0.0,21.0,2,2,1
14.0,2.0,0.0,9.0,2,3,1
16.0,3.0,0.0,9.0,1,2,1
25.0,3.0,0.0,12.0,3,2,1
19.0,2.0,0.0,20.0,2,3,1
23.0,3.0,6.25,20.0,2,4,1
17.0,2.0,0.0,9.0,2,1,1
24.0,3.0,0.0,12.0,1,0,0
20.0,3.0,0.0,12.0,2,2,0
18.0,2.0,0.0,13.0,2,3,0
22.0,2.0,0.0,9.0,2,2,0
27.0,3.0,0.0,10.0,2,2,0
24.0,2.0,0.0,9.0,2,3,1
29.0,3.0,0.0,18.0,2,2,0
19.0,3.0,0.0,11.0,3,2,1
26.0,3.0,0.0,21.0,2,1,0
20.0,2.0,0.0,8.0,3,4,0
32.0,5.0,11.11111111111111,17.0,1,4,1
22.0,2.0,5.0,7.0,2,4,1
23.0,3.0,0.0,21.0,2,2,0
29.0,3.0,0.0,8.0,2,1,0
18.0,2.0,0.0,20.0,2,1,0
18.0,2.0,0.0,5.0,3,3,1
20.0,2.0,0.0,16.0,1,0,0
27.0,2.0,0.0,6.0,3,2,1
17.0,2.0,0.0,17.0,2,1,0
18.0,2.0,0.0,,2,3,1
21.0,2.0,0.0,18.0,2,1,0
18.0,2.0,0.0,19.0,2,1,0
